sci_name,animal,toxic
Acer rubrum,cat,TRUE
Acer rubrum,dog,TRUE
Acer rubrum,horse,TRUE
Smilax herbacea,cat,FALSE
Smilax herbacea,dog,FALSE
Smilax herbacea,horse,FALSE
Stapelia hirsata,cat,FALSE
Stapelia hirsata,dog,FALSE
Stapelia hirsata,horse,FALSE
Onychium japonica,cat,FALSE
Onychium japonica,dog,FALSE
Onychium japonica,horse,TRUE
Daucus carota var. sativa,cat,FALSE
Daucus carota var. sativa,dog,FALSE
Daucus carota var. sativa,horse,FALSE
Cucumis melo,cat,FALSE
Cucumis melo,dog,FALSE
Cucumis melo,horse,FALSE
Aspidistra elatior,cat,FALSE
Aspidistra elatior,dog,FALSE
Aspidistra elatior,horse,TRUE
Ricinus communis,cat,TRUE
Ricinus communis,dog,TRUE
Ricinus communis,horse,TRUE
Smilax glabra,cat,FALSE
Smilax glabra,dog,FALSE
Smilax glabra,horse,FALSE
Calochortus nuttalli; Calochortus luteus,cat,FALSE
Calochortus nuttalli; Calochortus luteus,dog,FALSE
Calochortus nuttalli; Calochortus luteus,horse,FALSE
Hypochaeris radicata,cat,TRUE
Hypochaeris radicata,dog,TRUE
Hypochaeris radicata,horse,TRUE
Cattleya labiata,cat,FALSE
Cattleya labiata,dog,FALSE
Cattleya labiata,horse,TRUE
Celosia globosa,cat,FALSE
Celosia globosa,dog,FALSE
Celosia globosa,horse,FALSE
Celosia plumosa,cat,FALSE
Celosia plumosa,dog,FALSE
Celosia plumosa,horse,FALSE
Celosia spicata,cat,FALSE
Celosia spicata,dog,FALSE
Celosia spicata,horse,FALSE
Monstera deliciosa,cat,TRUE
Monstera deliciosa,dog,TRUE
Monstera deliciosa,horse,TRUE
Chamaedorea elegans,cat,FALSE
Chamaedorea elegans,dog,FALSE
Chamaedorea elegans,horse,TRUE
Anthemis nobilis,cat,TRUE
Anthemis nobilis,dog,TRUE
Anthemis nobilis,horse,TRUE
Kalanchoe tubiflora,cat,TRUE
Kalanchoe tubiflora,dog,TRUE
Kalanchoe tubiflora,horse,TRUE
Larrea tridentata,cat,FALSE
Larrea tridentata,dog,FALSE
Larrea tridentata,horse,FALSE
Brassica kaber,cat,TRUE
Brassica kaber,dog,TRUE
Brassica kaber,horse,TRUE
Dieffenbachia amoena,cat,TRUE
